2013.01.07,00:00,7771.50,7774.50,7711.80,7732.80,15754
2013.01.08,00:00,7726.70,7754.80,7689.80,7705.20,12539
2013.01.09,00:00,7706.40,7734.30,7688.30,7704.90,15229
2013.01.10,00:00,7705.50,7774.80,7703.30,7731.70,24602
2013.01.11,00:00,7732.30,7746.10,7732.30,7741.30,20639
2013.01.13,00:00,7719.80,7720.40,7712.60,7718.00,114
2013.01.14,00:00,7719.80,7786.30,7701.30,7735.30,10130
2013.01.15,00:00,7727.70,7734.80,7640.80,7693.50,13875
2013.01.16,00:00,7694.10,7703.30,7643.30,7685.80,18099
2013.01.17,00:00,7671.50,7761.30,7661.40,7732.80,18490
2013.01.18,00:00,7719.90,7722.30,7713.90,7716.50,16326
2013.01.20,00:00,7717.40,7737.20,7716.20,7727.60,153
2013.01.21,00:00,7717.40,7749.30,7715.20,7745.80,10212
2013.01.22,00:00,7739.40,7751.80,7659.00,7728.50,14903
2013.01.23,00:00,7730.30,7736.90,7683.50,7717.80,17265
2013.01.24,00:00,7695.60,7751.80,7683.60,7730.20,22563
2013.01.25,00:00,7727.80,7731.40,7725.40,7728.40,16460
2013.01.27,00:00,7861.00,7875.40,7858.00,7870.50,130
2013.01.28,00:00,7861.00,7885.20,7829.40,7830.00,21133
2013.01.29,00:00,7830.60,7851.80,7799.30,7847.80,20359
2013.01.30,00:00,7856.80,7863.30,7773.80,7806.50,14378
2013.01.31,00:00,7780.80,7811.30,7764.80,7781.40,24041
2013.02.01,00:00,7782.00,7792.80,7781.40,7792.20,22976
2013.02.03,00:00,7828.50,7830.60,7827.90,7829.40,107
2013.02.04,00:00,7828.50,7838.40,7614.00,7642.50,20759
2013.02.05,00:00,7625.60,7681.30,7620.80,7673.00,24375
2013.02.06,00:00,7649.60,7689.30,7543.80,7577.00,25744
2013.02.07,00:00,7592.30,7661.50,7565.00,7606.00,32361
2013.02.08,00:00,7604.20,7605.40,7598.20,7599.40,26280
2013.02.10,00:00,7642.00,7653.80,7641.40,7652.00,108
2013.02.11,00:00,7642.00,7676.50,7597.00,7616.20,21087
2013.02.12,00:00,7627.00,7668.50,7594.00,7662.70,24296
2013.02.13,00:00,7661.40,7737.50,7651.50,7705.30,17068
2013.02.14,00:00,7707.10,7709.90,7607.60,7640.30,16557
2013.02.15,00:00,7640.90,7643.30,7637.30,7637.90,19477
2013.02.17,00:00,7586.60,7590.90,7581.30,7587.30,147
2013.02.18,00:00,7586.60,7631.30,7581.30,7628.50,14998
2013.02.19,00:00,7628.60,7763.00,7608.30,7745.30,12843
2013.02.20,00:00,7751.00,7776.80,7715.30,7725.00,18119
2013.02.21,00:00,7705.30,7713.10,7563.30,7590.80,24085
2013.02.22,00:00,7606.60,7614.40,7605.40,7610.20,19121
2013.02.24,00:00,7691.80,7696.60,7691.80,7695.40,144
2013.02.25,00:00,7691.80,7861.00,7646.30,7676.80,24642
2013.02.26,00:00,7632.10,7673.00,7594.00,7626.40,21293
2013.02.27,00:00,7627.00,7716.60,7585.00,7710.70,22751
2013.02.28,00:00,7708.30,7783.00,7690.00,7763.80,19349
2013.03.01,00:00,7728.90,7746.50,7724.90,7732.70,28337
2013.03.03,00:00,7705.10,7711.20,7704.00,7707.60,137
2013.03.04,00:00,7705.10,7727.50,7637.30,7723.50,36073
2013.03.05,00:00,7736.00,7871.80,7726.00,7849.10,48043
2013.03.06,00:00,7850.30,7970.00,7846.70,7937.00,43674
